Category Order,Category,Sub Category,Category Spec Order,Specification,Example 1,Example 2,Example 3,Example 4,Example 5
1,Overview,,1,Manufacturer,Martin Guitar,Martin Guitar,Riceknbacker,Fender,Gretsch
1,Overview,,2,Model,CEO-7,D-28,4003S,American Ultra Telecaster,Falcon™ Hollow Body with String-Thru Bigsby®
1,Overview,,3,Body Size / Shape,00-14 Fret Slope Shoulder,S-13 Fret Cutaway,,Telecaster,Falcon™
1,Overview,,4,Series,CEO Series,Standard Series,Boutique,American Ultra,Professional Collection
1,Overview,,5,Build / Type,,,Solid,Solid,Hollow Body
1,Overview,,6,Top Material,Adirondack Spruce,Spruce,,,Arched Laminated Maple
1,Overview,,7,Body (Back & Sides) Material,Mahogany,Koa Fine Veneer,Maple,Alder,Laminated Maple
1,Overview,,8,Scale Length,"24.9""","25.4""",33 1/4″,25.5”,25.5”
1,Overview,,9,Nut Width,1 3/4'',1 3/4'',1 11/16”,1.685”,"1.6875"""
1,Overview,,10,Neck Shape / Profile,Modified V,Low Profile Velocity,,"Modern ""D""","Standard ""U"""
1,Overview,,11,Neck Type / Construction,Dovetail Neck Joint,Sure Align® Linear Dovetail Neck Joint,Thru body,4-Bolt Standard,Set-Neck
1,Overview,,12,Pickup Configuration,,,2 pickups,SS,Filter'Tron™ / Filter'Tron™
1,Overview,,14,Country of Origin,USA,USA,,,
1,Overview,,15,Serial Number,,,,,
2,Top,,1,Top Color,Autumn Sunset Burst,,,,
2,Top,,2,Finish Top,Gloss,Gloss,,,
2,Top,,3,Binding,Antique White,White,,,
2,Top,,4,Top Inlay Material,Black Stripe,Blue with Multi-Stripe,,,
2,Top,,5,Top Detail,,,,,
2,Top,,8,Bridge Style,Straight Line - Drop in Saddle,Sloped Modern Belly - Drop in Saddle,,,
2,Top,,9,Rosette,Multi-Stripe,Aperture Design with Multi-Stripe,,,
2,Top,,10,Bridge String Spacing,2 5/16'',2 5/32'',,,
2,Top,,11,Bridge Material,Ebony,Ebony,,,
2,Top,,12,Bridge Pin Material,White Plastic,White Plastic,,,
2,Top,,13,Bridge Pin Dots,Black Plastic,Black Plastic,,,
2,Top,,14,Saddle,Compensated Bone,Compensated White Tusq,,,
2,Top,,15,Saddle Radius,"16""","16""",,,
3,Body,Design,1,Body (Back & Sides) Color,Dark Mahogany,,,,
3,Body,Design,2,Body (Back & Sides) Finish,Gloss,Gloss,,Gloss Urethane,Gloss
3,Body,Design,3,Body Binding,,,,White,Gold Sparkle with W/B/W/B Purfling
3,Body,Design,4,Back Purfling/Strip,,,,,
3,Body,Design,5,Back Inlay Material,Black Stripe,,,,
3,Body,Design,6,Back Detail,,,,,
3,Body,Design,7,Side Detail,,,,,
